Gene1	Gene2	Chromosome1	Chromosome2	Breakpoint1	Breakpoint2	FusionStrand1	FusionStrand2	GeneStrand1	GeneStrand2	type	site1	site2	transcript_id1	transcript_id2	reading_frame	5p_role	3p_role
FAF2	AC010297.1	5	5	176457898	176429139	+	+	+	.	duplication	intron	intergenic	.	.	.	[]	[]
FAF2	CLTB	5	5	176457898	176429139	+	+	+	.	duplication	intron	intergenic	.	.	.	[]	[]
CPSF2	LINC02580	14	2	92138347	43174120	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000298875	.	out-of-frame	[]	[]
CPSF2	AC010883.3	14	2	92138347	43174120	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000298875	.	out-of-frame	[]	[]
TMEM123	IFRD1	11	7	102448812	112455763	-	+	-	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000398136	ENST00000675578	in-frame	[]	[]
IFI44L	AC104837.1	1	1	78643162	78838473	+	+	+	.	deletion/read-through	3'UTR	intergenic	ENST00000370751	.	.	[]	[]
IFI44L	ADGRL4	1	1	78643162	78838473	+	+	+	.	deletion/read-through	3'UTR	intergenic	ENST00000370751	.	.	[]	[]
CLASP1	LINC01823	2	2	121605701	121830554	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000263710	.	out-of-frame	[]	[]
CLASP1	AC011246.1	2	2	121605701	121830554	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000263710	.	out-of-frame	[]	[]
AHNAK	TUT1	11	11	62533661	62579030	-	-	-	-	duplication	CDS	CDS/splice-site	ENST00000378024	ENST00000308436	in-frame	[]	[]
AC092279.1	ZNF737	19	19	24033621	20553835	+	-	+	-	inversion	exon/splice-site	CDS/splice-site	ENST00000662140	ENST00000427401	.	[]	[]
ZNF254	ZNF737	19	19	24033621	20553835	+	-	+	-	inversion	5'UTR/splice-site	CDS/splice-site	ENST00000613065	ENST00000427401	.	[]	[]
ZNF107	AC016769.4	7	7	64691960	64599659	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000620827	.	out-of-frame	[]	[]
ZNF107	AC016769.5	7	7	64691960	64599659	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000620827	.	out-of-frame	[]	[]
CLASP1	AC011246.1	2	2	121547611	121841625	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
CLASP1	LINC01823	2	2	121547611	121841625	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
ZNF571	AC008556.1	19	19	37583971	33925178	-	+	-	.	inversion	CDS/splice-site	intergenic	ENST00000590751	.	out-of-frame	[]	[]
CATSPERB	TRIP11	14	14	91632874	91976189	-	-	-	-	duplication	intron	CDS/splice-site	ENST00000256343	ENST00000267622	out-of-frame	[]	['Cancer']
KMT2E	LHFPL3	7	7	105112970	104706618	+	+	+	+	duplication	CDS	intron	ENST00000311117	.	out-of-frame	[]	[]
CTTN	SHANK2	11	11	70425401	70460799	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000301843	.	out-of-frame	[]	[]
ALS2	AC012459.1	2	2	201761592	200474651	-	-	-	-	deletion	CDS	exon	ENST00000264276	ENST00000666133	out-of-frame	[]	[]
RHEX	QTRT1	1	19	206053265	10707302	+	+	+	+	translocation	5'UTR/splice-site	CDS/splice-site	ENST00000331555	ENST00000250237	.	[]	[]
BX571818.1	QTRT1	1	19	206053265	10707302	+	+	+	+	translocation	exon/splice-site	CDS/splice-site	ENST00000582596	ENST00000250237	.	[]	[]
JADE3	AL606662.1	X	X	46912719	34663483	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000614628	.	.	[]	[]
JADE3	TMEM47	X	X	46912719	34663483	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000614628	.	.	[]	[]
SRP14	BUB1B	15	15	40038899	40145703	-	-	-	.	duplication	CDS	intergenic	ENST00000558720	.	.	[]	['Kinases', 'Cancer', 'Tumour Suppressor']
SRP14	AC021755.1	15	15	40038899	40145703	-	-	-	.	duplication	CDS	intergenic	ENST00000558720	.	.	[]	[]
SPDYA	PPP1CB	2	2	28793997	28776851	+	+	+	+	duplication	exon/splice-site	CDS/splice-site	ENST00000462832	ENST00000358506	.	[]	[]
STAU1	ANKS1A	20	6	49174195	35107397	-	+	-	.	translocation	5'UTR/splice-site	intergenic	ENST00000371828	.	.	[]	[]
KMT2C	AC104843.2	7	7	152154010	152481847	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000262189	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
KMT2C	LINC01003	7	7	152154010	152481847	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000262189	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
EZR	AL356417.2	6	6	158818082	159121856	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000367075	.	out-of-frame	['Druggable', 'Cancer']	[]
EZR	AL356417.3	6	6	158818082	159121856	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000367075	.	out-of-frame	['Druggable', 'Cancer']	[]
KHDC4	KRT89P	1	12	155915873	52322702	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000368321	.	out-of-frame	[]	[]
KHDC4	KRT83	1	12	155915873	52322702	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000368321	.	out-of-frame	[]	[]
STAU1	TCP11	20	6	49174195	35107397	-	+	-	.	translocation	5'UTR/splice-site	intergenic	ENST00000371828	.	.	[]	[]
PINLYP	L34079.3	19	19	43581703	43575399	+	+	+	+	duplication	CDS/splice-site	exon/splice-site	ENST00000599207	ENST00000600242	out-of-frame	[]	[]
CHD7	CLVS1	8	8	60743097	61131770	+	+	+	+	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000423902	ENST00000522621	in-frame	[]	[]
CAMK2G	PLAU	10	10	73872989	73874963	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000394762	.	out-of-frame	['Kinases']	[]
EZR	AL356417.3	6	6	158818082	159105304	-	-	-	-	duplication	CDS/splice-site	exon/splice-site	ENST00000367075	ENST00000642829	out-of-frame	['Druggable', 'Cancer']	[]
USP54	BMS1P4-AGAP5	10	10	73601532	73676770	-	-	-	-	duplication	intron	exon/splice-site	ENST00000433394	ENST00000399449	.	[]	[]
USP54	AGAP5	10	10	73601532	73676770	-	-	-	-	duplication	intron	CDS/splice-site	ENST00000433394	ENST00000443782	.	[]	[]
SH3KBP1	AL807742.1	X	X	19746318	20528049	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000397821	.	out-of-frame	[]	[]
SH3KBP1	AL807740.1	X	X	19746318	20528049	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000397821	.	out-of-frame	[]	[]
SLC9A7	AC073614.1	X	X	46631586	26250520	-	+	-	.	inversion	CDS/splice-site	intergenic	ENST00000616978	.	out-of-frame	[]	[]
SLC9A7	AC005297.3	X	X	46631586	26250520	-	+	-	.	inversion	CDS/splice-site	intergenic	ENST00000616978	.	out-of-frame	[]	[]
AGO2	TRAPPC9	8	8	140605797	140311374	-	-	-	-	deletion/read-through	5'UTR/splice-site	CDS/splice-site	ENST00000524328	ENST00000648948	.	[]	[]
HNRNPF	AC068707.1	10	10	43409131	43350516	-	-	-	-	deletion/read-through	5'UTR	exon	ENST00000337970	ENST00000650340	.	[]	[]
ACAP2	XXYLT1	3	3	195392090	195226856	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000326793	ENST00000310380	in-frame	[]	[]
TRA2A	IGF2BP3	7	7	23507420	23418824	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000392502	ENST00000476938	out-of-frame	[]	[]
ARGLU1	EFNB2	13	13	106567573	106512812	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000400198	ENST00000646441	in-frame	[]	[]
SPIDR	IGHG1	8	14	47696776	105864264	+	-	+	-	translocation	intron	intergenic	.	ENST00000390548	.	[]	[]
SLC5A4P1	OR8A1	11	11	124289179	124570101	+	+	+	+	deletion/read-through	intergenic	CDS/splice-site	.	ENST00000641670	.	[]	[]
STAU1	ANKS1A	20	6	49174195	35117246	-	+	-	.	translocation	5'UTR/splice-site	intergenic	ENST00000371828	.	.	[]	[]
STAU1	TCP11	20	6	49174195	35117246	-	+	-	.	translocation	5'UTR/splice-site	intergenic	ENST00000371828	.	.	[]	[]
DEPTOR	ENPP2	8	8	120003111	119674588	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000286234	.	out-of-frame	[]	[]
NOS1AP	ATF6	1	1	162154476	161912296	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000361897	ENST00000367942	in-frame	[]	[]
AL355388.1	KRT82	1	12	155980975	52403909	+	-	+	-	translocation	exon	CDS/splice-site	ENST00000610146	ENST00000257974	.	[]	[]
XPR1	OVAAL	1	1	180682411	180530596	+	+	+	+	duplication	CDS/splice-site	intron	ENST00000367590	.	out-of-frame	[]	[]
RPS6KA3	SDCBPP3	X	X	20266564	40851846	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000379565	.	out-of-frame	['Kinases']	[]
RPS6KA3	MKRN4P	X	X	20266564	40851846	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000379565	.	out-of-frame	['Kinases']	[]
SOX5	AC023796.1	12	12	24213343	24699258	-	+	-	.	inversion	5'UTR/splice-site	intergenic	ENST00000646273	.	.	[]	[]
SOX5	AC087312.1	12	12	24213343	24699258	-	+	-	.	inversion	5'UTR/splice-site	intergenic	ENST00000646273	.	.	[]	[]
HNRNPF	AC068707.1	10	10	43407717	43350516	-	-	-	-	deletion/read-through	5'UTR/splice-site	exon	ENST00000357065	ENST00000650340	.	[]	[]
KNOP1	AC092132.2	16	16	19706060	20077521	-	-	-	.	duplication	3'UTR	intergenic	ENST00000219837	.	.	[]	[]
KNOP1	GPR139	16	16	19706060	20077521	-	-	-	.	duplication	3'UTR	intergenic	ENST00000219837	.	.	[]	[]
AC015688.4	LGALS9DP	17	17	27640754	27748315	+	+	+	+	deletion/read-through	3'UTR	exon	ENST00000584605	ENST00000580112	.	[]	[]
PTK2	AGO2	8	8	140664917	140585311	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000522684	ENST00000220592	out-of-frame	['Kinases']	[]
PTK2	AGO2	8	8	140664917	140605914	-	-	-	-	deletion/read-through	CDS/splice-site	intron	ENST00000522684	ENST00000524328	out-of-frame	['Kinases']	[]
FBXL20	AC068669.1	17	17	39271631	40114677	-	-	-	-	duplication	intron	exon	.	ENST00000623793	.	[]	[]
PLPPR3	SBNO2	19	19	813270	1135180	-	-	-	-	duplication	CDS	intron	ENST00000520876	.	out-of-frame	[]	[]
KAT2A	AC091045.1	17	15	42117557	40547172	-	+	-	+	translocation	CDS	intron	ENST00000225916	.	stop-codon	[]	[]
EPPK1	AP000688.2	8	21	143867354	36105756	-	+	-	+	translocation	CDS	intron	ENST00000615648	.	out-of-frame	[]	[]
INPPL1	FOLR3	11	11	72231772	72123728	+	+	+	+	duplication	intron	intron	ENST00000298229	.	stop-codon	[]	[]
BABAM2	LINC02151	2	11	28129380	116409795	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000344773	.	out-of-frame	[]	[]
BABAM2	AP000797.1	2	11	28129380	116409795	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000344773	.	out-of-frame	[]	[]
PRKCZ	MXRA8	1	1	2059591	1362032	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000378567	.	out-of-frame	['Kinases']	[]
PRKCZ	AURKAIP1	1	1	2059591	1362032	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000378567	.	out-of-frame	['Kinases']	[]
CFAP44	AC112128.1	3	3	113395750	113416627	-	-	-	-	duplication	CDS/splice-site	3'UTR/splice-site	ENST00000393845	ENST00000649772	out-of-frame	[]	[]
AGBL2	FNBP4	11	11	47710377	47754664	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000525123	ENST00000263773	in-frame	[]	[]
RAPGEF2	RXFP1	4	4	159304473	158382137	+	+	+	+	duplication	CDS/splice-site	intron	ENST00000644474	ENST00000460056	out-of-frame	[]	[]
PIK3C2A	MIR3159	11	11	17131916	18376022	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000265970	.	out-of-frame	[]	[]
PIK3C2A	GTF2H1	11	11	17131916	18376022	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000265970	.	out-of-frame	[]	[]
TULP3	ARHGEF18	12	19	2877282	7440344	+	+	+	+	translocation	5'UTR/splice-site	CDS/splice-site	ENST00000540184	ENST00000319670	.	[]	[]
TULP3	AC008878.3	12	19	2877282	7440344	+	+	+	+	translocation	5'UTR/splice-site	CDS/splice-site	ENST00000540184	ENST00000668164	.	[]	[]
SOGA1	ATG3P1	20	20	36862658	39293956	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000237536	.	out-of-frame	[]	[]
SOGA1	AL035251.1	20	20	36862658	39293956	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000237536	.	out-of-frame	[]	[]
RNF213	LINC01977	17	17	80273404	79812379	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000582970	.	out-of-frame	['Cancer']	[]
RNF213	AC100791.2	17	17	80273404	79812379	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000582970	.	out-of-frame	['Cancer']	[]
POLR2M	TCF12	15	15	57715406	57063640	+	+	+	+	duplication	3'UTR	intron	ENST00000299638	ENST00000569880	.	[]	['Cancer']
PDCD6IP	SDAD1P3	3	3	33822082	33756940	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000457054	.	out-of-frame	[]	[]
PDCD6IP	AC112220.1	3	3	33822082	33756940	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000457054	.	out-of-frame	[]	[]
PTPRD	GTF3AP1	9	9	8633317	6091451	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000463477	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
PTPRD	AL162384.1	9	9	8633317	6091451	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000463477	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
PMS1	KRT18P19	2	2	189855128	189273563	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000624204	.	out-of-frame	['Cancer']	[]
PMS1	COL5A2	2	2	189855128	189273563	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000624204	.	out-of-frame	['Cancer']	[]
RAC2	AGFG2	22	7	37231231	100531787	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000249071	.	out-of-frame	[]	[]
ZMYND8	NCOA3	20	20	47280964	47500793	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
AC010636.2	KRTAP21-3	19	21	20645684	30722276	-	-	-	.	translocation	exon/splice-site	intergenic	ENST00000595094	.	.	[]	[]
ZNF626	KRTAP21-4P	19	21	20645684	30722276	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000601440	.	out-of-frame	[]	[]
ZNF626	KRTAP21-3	19	21	20645684	30722276	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000601440	.	out-of-frame	[]	[]
PPP1R16A	PLEC	8	8	144501294	143910201	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000292539	.	out-of-frame	[]	[]
PPP1R16A	AC109322.2	8	8	144501294	143910201	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000292539	.	out-of-frame	[]	[]
RFX1	PRR13P5	19	19	13972743	39965232	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000254325	.	out-of-frame	[]	[]
ZMYND8	RNU6-563P	20	20	47280964	47500793	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
ZNF43	AC020905.1	19	19	21851705	28266848	-	-	-	.	duplication	intron	intergenic	ENST00000357491	.	stop-codon	[]	[]
ZNF43	AC010511.1	19	19	21851705	28266848	-	-	-	.	duplication	intron	intergenic	ENST00000357491	.	stop-codon	[]	[]
RFX1	PSMC4	19	19	13972743	39965232	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000254325	.	out-of-frame	[]	[]
CANX	GHRHR	5	7	179699721	30934346	+	+	+	.	translocation	5'UTR	intergenic	ENST00000507307	.	.	[]	[]
MYO9B	ZNF43	19	19	17214538	21865116	+	-	+	.	inversion	intergenic	intergenic	ENST00000598419	.	.	[]	[]
CANX	AQP1	5	7	179699721	30934346	+	+	+	.	translocation	5'UTR	intergenic	ENST00000507307	.	.	[]	[]
RARG	ATF7-NPFF	12	12	53211727	53621021	-	-	-	-	duplication	CDS	intron	ENST00000394426	.	out-of-frame	[]	[]
RARG	ATF7	12	12	53211727	53621021	-	-	-	-	duplication	CDS	intron	ENST00000394426	.	out-of-frame	[]	[]
MYO9B	ZNF208	19	19	17214538	21865116	+	-	+	.	inversion	intergenic	intergenic	ENST00000598419	.	.	[]	[]
MUC16	KLHDC1	19	14	8952250	49743298	-	+	-	+	translocation	CDS	intron	ENST00000397910	.	out-of-frame	['Cancer']	[]
USP34	AL031674.1	2	20	61358133	52717758	-	+	-	.	translocation	intron	intergenic	ENST00000398571	.	out-of-frame	[]	[]
USP34	AL161945.1	2	20	61358133	52717758	-	+	-	.	translocation	intron	intergenic	ENST00000398571	.	out-of-frame	[]	[]
B4GALT5	SNRPFP1	20	20	49711039	49788757	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
B4GALT5	RNU6-919P	20	20	49711039	49788757	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
ZNF418	PLEKHF1	19	19	57927687	29678324	-	+	-	.	inversion	CDS	intergenic	ENST00000396147	.	out-of-frame	[]	[]
ZNF418	C19orf12	19	19	57927687	29678324	-	+	-	.	inversion	CDS	intergenic	ENST00000396147	.	out-of-frame	[]	[]
TARBP1	AL391832.3	1	1	234406864	235010324	-	-	-	.	duplication	exon	intergenic	ENST00000483404	.	.	[]	[]
TARBP1	LINC01348	1	1	234406864	235010324	-	-	-	.	duplication	exon	intergenic	ENST00000483404	.	.	[]	[]
AC007422.1	C1D	2	2	67701942	68073792	-	-	-	-	duplication	intergenic	intron	.	.	.	[]	[]
LINC01812	C1D	2	2	67701942	68073792	-	-	-	-	duplication	intergenic	intron	.	.	.	[]	[]
LINC01812	C1D	2	2	67886129	68047319	-	-	-	-	duplication	intergenic	CDS/splice-site	.	ENST00000407324	.	[]	[]
FBXL12P1	C1D	2	2	67886129	68047319	-	-	-	-	duplication	intergenic	CDS/splice-site	.	ENST00000407324	.	[]	[]
ZNF7	AC139103.1	8	8	144841858	145006137	+	-	+	.	inversion	CDS	intergenic	ENST00000528372	.	out-of-frame	[]	[]
C8orf44-SGK3	AC009879.4	8	8	66822459	66346993	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000519289	.	out-of-frame	[]	[]
INTS13	C12orf71	12	12	26927925	27067773	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
C8orf44-SGK3	LINC00967	8	8	66822459	66346993	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000519289	.	out-of-frame	[]	[]
MUC16	NALCN-AS1	19	13	8894518	100682121	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000397910	.	out-of-frame	['Cancer']	[]
INTS13	MED21	12	12	26927925	27067773	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	[]
NCOA6	RLN3	20	19	34746807	14018835	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000359003	.	out-of-frame	[]	[]
DIXDC1	LDLRAD3	11	11	111955619	36026325	+	+	+	+	duplication	intron	intron	.	.	.	[]	[]
ZGPAT	CDH4	20	20	63733318	61849679	+	+	+	+	duplication	CDS	intron	ENST00000448100	ENST00000614565	in-frame	[]	[]
AL121845.3	CDH4	20	20	63733318	61849679	+	+	+	+	duplication	CDS	intron	ENST00000490623	ENST00000614565	.	[]	[]
ZNF7	ZNF252P-AS1	8	8	144841858	145006137	+	-	+	.	inversion	CDS	intergenic	ENST00000528372	.	out-of-frame	[]	[]
NCOA6	RFX1	20	19	34746807	14018835	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000359003	.	out-of-frame	[]	[]
SGK3	AC009879.4	8	8	66822459	66346993	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000521198	.	out-of-frame	['Kinases']	[]
SGK3	LINC00967	8	8	66822459	66346993	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000521198	.	out-of-frame	['Kinases']	[]
ZNF701	ZNF808	19	19	52556050	52553107	+	+	+	+	duplication	3'UTR/splice-site	CDS/splice-site	ENST00000478039	ENST00000359798	.	[]	[]
ZNF701	ZNF808	19	19	52576021	52553107	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000391785	ENST00000359798	in-frame	[]	[]
MUC16	TMTC4	19	13	8894518	100682121	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000397910	.	out-of-frame	['Cancer']	[]
CELF1	AC091959.1	11	5	47524590	146302208	-	+	-	+	translocation	5'UTR	intron	ENST00000543178	.	.	[]	[]
RPSAP1	CST5	20	20	51131053	23911879	-	+	-	.	inversion	exon	intergenic	ENST00000421328	.	.	[]	[]
ZNF442	CST2P1	19	20	12365533	23691661	-	-	-	.	translocation	5'UTR/splice-site	intergenic	ENST00000242804	.	.	[]	[]
ZNF442	CST4	19	20	12365533	23691661	-	-	-	.	translocation	5'UTR/splice-site	intergenic	ENST00000242804	.	.	[]	[]
MICAL3	AC008132.1	22	22	17904632	18853650	-	+	-	+	inversion	CDS/splice-site	exon/splice-site	ENST00000441493	ENST00000412938	out-of-frame	[]	[]
OSBPL10	IGBP1P3	3	3	31668642	32613110	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000396556	.	out-of-frame	[]	[]
OSBPL10	AC104306.2	3	3	31668642	32613110	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000396556	.	out-of-frame	[]	[]
ATP6V1G2-DDX39B	LY6L	6	8	31538550	143078343	-	-	-	.	translocation	intron	intergenic	.	.	.	[]	[]
ATP6V1G2-DDX39B	AC083982.1	6	8	31538550	143078343	-	-	-	.	translocation	intron	intergenic	.	.	.	[]	[]
DDX39B	LY6L	6	8	31538550	143078343	-	-	-	.	translocation	intron	intergenic	.	.	.	[]	[]
DDX39B	AC083982.1	6	8	31538550	143078343	-	-	-	.	translocation	intron	intergenic	.	.	.	[]	[]
LINC01451	NF1	9	17	136577224	31155983	-	+	-	+	translocation	intergenic	CDS/splice-site	.	ENST00000356175	.	[]	['Cancer', 'Tumour Suppressor']
TMEM9B-AS1	STON2	11	14	8978767	81278739	+	-	+	-	translocation	intergenic	CDS/splice-site	.	ENST00000649389	.	[]	[]
EIF2A	ADORA1	3	1	150564381	203108210	+	+	+	+	translocation	CDS/splice-site	intron	ENST00000460851	.	out-of-frame	[]	[]
MTA1	POTEG	14	14	105438739	19480324	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000331320	.	out-of-frame	[]	[]
MTA1	MED15P6	14	14	105438739	19480324	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000331320	.	out-of-frame	[]	[]
TEX22	POTEG	14	14	105438739	19480324	+	-	+	.	inversion	3'UTR/splice-site	intergenic	ENST00000548638	.	stop-codon	[]	[]
TEX22	MED15P6	14	14	105438739	19480324	+	-	+	.	inversion	3'UTR/splice-site	intergenic	ENST00000548638	.	stop-codon	[]	[]
RELB	CLPTM1	19	19	45001685	44993437	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000625761	.	out-of-frame	[]	[]
TEX22	AL929601.1	14	14	105438739	18921623	+	+	+	+	duplication	3'UTR/splice-site	exon/splice-site	ENST00000548638	ENST00000551565	stop-codon	[]	[]
MTA1	AL929601.1	14	14	105438739	18921623	+	+	+	+	duplication	CDS/splice-site	exon/splice-site	ENST00000331320	ENST00000551565	out-of-frame	[]	[]
ST6GALNAC1	MXRA7	17	17	76637600	76677702	-	-	-	-	duplication	3'UTR/splice-site	CDS/splice-site	ENST00000592042	ENST00000355797	stop-codon	[]	[]
TARBP1	AL161640.2	1	1	234465656	234545386	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000040877	.	out-of-frame	[]	[]
TARBP1	AL161640.3	1	1	234465656	234545386	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000040877	.	out-of-frame	[]	[]
UBE4B	HSPE1P6	1	1	10151561	203912183	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000672724	.	out-of-frame	[]	[]
UBE4B	CBX1P3	1	1	10151561	203912183	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000672724	.	out-of-frame	[]	[]
HMGXB3	AFAP1L1	5	5	150050945	149282532	+	+	+	+	duplication	intron	intron	.	.	.	[]	[]
KDM6A	XIST	X	X	44873987	73831206	+	-	+	-	inversion	CDS/splice-site	exon/splice-site	ENST00000611820	ENST00000650637	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
KDM6A	XIST	X	X	44873987	73829231	+	-	+	-	inversion	CDS/splice-site	exon/splice-site	ENST00000611820	ENST00000429829	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
PRPF18	AL590677.1	10	10	13616553	13550802	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000378572	.	out-of-frame	[]	[]
AL157392.5	AL590677.1	10	10	13616553	13550802	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000601460	.	.	[]	[]
AL157392.5	PRPF18	10	10	13616553	13550802	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000601460	.	.	[]	[]
ZDHHC17	AC124784.1	12	12	76837356	76916908	+	+	+	.	deletion/read-through	intron	intergenic	.	.	.	[]	[]
ZDHHC17	AC025161.1	12	12	76837356	76916908	+	+	+	.	deletion/read-through	intron	intergenic	.	.	.	[]	[]
AC015688.4	LGALS9DP	17	17	27640764	27748311	+	+	+	+	deletion/read-through	3'UTR	exon	ENST00000584605	ENST00000580112	.	[]	[]
EPS8L1	TNNT1	19	19	55086192	55129149	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000201647	.	out-of-frame	[]	[]
EPS8L1	MIR7975	19	19	55086192	55129149	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000201647	.	out-of-frame	[]	[]
SUCO	DNM3	1	1	172610007	172334579	+	+	+	+	duplication	CDS	intron	ENST00000367723	.	out-of-frame	[]	[]
INTS3	S100A7	1	1	153760390	153474754	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000318967	.	out-of-frame	[]	['Cancer']
AC015688.4	LGALS9DP	17	17	27640769	27749781	+	+	+	+	deletion/read-through	3'UTR	intron	ENST00000584605	ENST00000580112	.	[]	[]
LSM14A	AC073534.1	19	19	34211316	27259768	+	+	+	.	duplication	intron	intergenic	.	.	.	['Cancer']	[]
LSM14A	ERVK-28	19	19	34211316	27259768	+	+	+	.	duplication	intron	intergenic	.	.	.	['Cancer']	[]
INTS3	S100A7	1	1	153760596	153473272	+	+	+	.	duplication	exon	intergenic	ENST00000491790	.	.	[]	['Cancer']
IFI44L	AC104837.1	1	1	78643160	78838432	+	+	+	.	deletion/read-through	3'UTR	intergenic	ENST00000370751	.	.	[]	[]
IFI44L	ADGRL4	1	1	78643160	78838432	+	+	+	.	deletion/read-through	3'UTR	intergenic	ENST00000370751	.	.	[]	[]
EPS8L1	TNNT1	19	19	55086203	55125916	+	+	+	.	deletion/read-through	intron	intergenic	ENST00000201647	.	out-of-frame	[]	[]
EPS8L1	MIR7975	19	19	55086203	55125916	+	+	+	.	deletion/read-through	intron	intergenic	ENST00000201647	.	out-of-frame	[]	[]
